rep_seed,true_p,selected_p,selected_matches_true,best_val_avg_loglik,test_avg_loglik,test_alpha_mse,phi_true_fro_norm
10000,1,8,0,-0.7171170711517334,-0.8082739114761353,0.09235945343971252,1.5910792350769043
10001,1,10,0,-0.73441481590271,-0.8038990497589111,0.09628378599882126,1.5591245889663696
10002,1,8,0,-0.7282620668411255,-0.733792781829834,0.08586490154266357,1.5545833110809326
10003,1,10,0,-0.7201404571533203,-0.7233973145484924,0.09554072469472885,1.5621880292892456
10004,1,10,0,-0.7225207686424255,-0.7574809789657593,0.10047256201505661,1.4452816247940063
10005,1,10,0,-0.7373619079589844,-0.7713846564292908,0.10012753307819366,1.4777230024337769
10006,1,10,0,-0.7145341038703918,-0.7373045682907104,0.09108603745698929,1.410295844078064
10007,1,10,0,-0.7301801443099976,-0.7478545904159546,0.10979393869638443,1.4608467817306519
10008,1,8,0,-0.7079629302024841,-0.8087005019187927,0.105405792593956,1.4466274976730347
10009,1,8,0,-0.7166945934295654,-0.8105871081352234,0.09231551736593246,1.5592925548553467
20000,2,10,0,-0.7093617916107178,-0.7758264541625977,0.09981890022754669,2.1363043785095215
20001,2,10,0,-0.723361611366272,-0.7214797735214233,0.11243347078561783,2.102938652038574
20002,2,1,0,-0.7290098071098328,-0.7401711940765381,0.09415744990110397,1.9902623891830444
20003,2,10,0,-0.7329022884368896,-0.7528042197227478,0.09229889512062073,2.0430479049682617
20004,2,8,0,-0.7153360843658447,-0.8037084937095642,0.09578186273574829,2.070452928543091
20005,2,10,0,-0.7192554473876953,-0.7657356262207031,0.10551586747169495,2.003941059112549
20006,2,5,0,-0.7380209565162659,-0.8584622144699097,0.09945717453956604,2.1534035205841064
20007,2,8,0,-0.7075649499893188,-0.7937829494476318,0.10126561671495438,2.0809335708618164
20008,2,10,0,-0.7252724170684814,-0.7397642135620117,0.1056380346417427,2.0243520736694336
20009,2,10,0,-0.7153672575950623,-0.7591763734817505,0.10425017774105072,2.1125612258911133
40000,4,10,0,-0.7069728970527649,-0.7366737127304077,0.09662215411663055,3.023127794265747
40001,4,10,0,-0.7281026244163513,-0.7367832064628601,0.10681995749473572,3.007500410079956
40002,4,10,0,-0.7155184745788574,-0.7501713037490845,0.10459847003221512,2.981497287750244
40003,4,10,0,-0.7171880602836609,-0.7336384057998657,0.09005186706781387,2.8798508644104004
40004,4,8,0,-0.7303931713104248,-0.7555599212646484,0.09035024791955948,3.0050363540649414
40005,4,6,0,-0.7275036573410034,-0.8663066625595093,0.09719723463058472,2.9960641860961914
40006,4,8,0,-0.7170705199241638,-0.7420730590820312,0.10879269242286682,2.9538638591766357
40007,4,10,0,-0.7193411588668823,-0.7445094585418701,0.09524767100811005,2.9134371280670166
40008,4,10,0,-0.7234798669815063,-0.7904492020606995,0.10046536475419998,3.0986788272857666
40009,4,10,0,-0.7219688296318054,-0.7231446504592896,0.08888743072748184,2.96751070022583
80000,8,1,0,-0.7114161849021912,-0.7472549080848694,0.09427977353334427,4.220405578613281
80001,8,10,0,-0.7279620170593262,-0.7305757999420166,0.1015767753124237,4.1675310134887695
80002,8,10,0,-0.724847137928009,-0.7476205825805664,0.0959019735455513,4.178624153137207
80003,8,8,1,-0.6756179332733154,-0.6882375478744507,0.08391304314136505,4.23321533203125
80004,8,8,1,-0.7216648459434509,-0.7818961143493652,0.09448528289794922,4.215301513671875
80005,8,10,0,-0.726137638092041,-0.7445082068443298,0.10374314337968826,4.186631679534912
80006,8,8,1,-0.7232439517974854,-0.7900606989860535,0.09849189966917038,4.1822829246521
80007,8,10,0,-0.7180248498916626,-0.7325098514556885,0.1028495654463768,4.154109954833984
80008,8,10,0,-0.7032227516174316,-0.7304034233093262,0.09726254642009735,4.165881633758545
80009,8,10,0,-0.719336211681366,-0.741862952709198,0.09375877678394318,4.219382286071777
