sweep,param,value,seed,alpha_mse,phi_mse,constraint_residual
noise,noise,0.0,0,0.052887,0.006492,0.639012
noise,noise,0.0,1,0.060448,0.005455,0.542927
noise,noise,0.0,2,0.056017,0.005338,0.431390
noise,noise,0.0,3,0.058498,0.005480,0.312040
noise,noise,0.0,4,0.062106,0.006559,0.875257
noise,noise,0.01,0,0.034014,0.007070,2.143900
noise,noise,0.01,1,0.042684,0.007002,1.339652
noise,noise,0.01,2,0.032059,0.006748,5.292881
noise,noise,0.01,3,0.046929,0.006164,0.413556
noise,noise,0.01,4,0.040001,0.007560,1.581669
noise,noise,0.05,0,0.027202,0.007359,6.804616
noise,noise,0.05,1,0.034257,0.007680,4.237350
noise,noise,0.05,2,0.022961,0.007041,12.213584
noise,noise,0.05,3,0.037939,0.006532,1.575273
noise,noise,0.05,4,0.030496,0.007591,4.548841
noise,noise,0.1,0,0.024477,0.007294,9.999550
noise,noise,0.1,1,0.028373,0.007124,6.327421
noise,noise,0.1,2,0.018708,0.007593,14.247384
noise,noise,0.1,3,0.031553,0.006851,4.310604
noise,noise,0.1,4,0.025339,0.007097,5.795436
noise,noise,0.2,0,0.019165,0.007508,11.576752
noise,noise,0.2,1,0.019463,0.006161,7.665550
noise,noise,0.2,2,0.012675,0.007842,17.582891
noise,noise,0.2,3,0.023700,0.006930,7.415482
noise,noise,0.2,4,0.018047,0.007241,8.675770
noise,noise,0.5,0,0.009607,0.007181,11.894455
noise,noise,0.5,1,0.009972,0.005860,10.076012
noise,noise,0.5,2,0.005933,0.007741,22.508051
noise,noise,0.5,3,0.010892,0.006368,8.286862
noise,noise,0.5,4,0.007855,0.007156,10.930433
