sweep,param,value,seed,alpha_mse,phi_mse,constraint_residual
weight,weight,0.0,0,0.07403308153152466,0.0899757519364357,3.5762786865234375e-07
weight,weight,0.0,1,0.07823105156421661,0.06690910458564758,2.384185791015625e-07
weight,weight,0.0,2,0.07270509004592896,0.08831018209457397,2.384185791015625e-07
weight,weight,0.0,3,0.08007529377937317,0.08770895004272461,2.384185791015625e-07
weight,weight,0.0,4,0.08319947123527527,0.11241894215345383,2.384185791015625e-07
weight,weight,0.1,0,0.07369519025087357,0.10310997068881989,2.384185791015625e-07
weight,weight,0.1,1,0.07815957814455032,0.07163365185260773,2.384185791015625e-07
weight,weight,0.1,2,0.07221656292676926,0.09616775065660477,2.384185791015625e-07
weight,weight,0.1,3,0.07880903780460358,0.08589544147253036,2.384185791015625e-07
weight,weight,0.1,4,0.08270280808210373,0.11925135552883148,4.76837158203125e-07
weight,weight,1.0,0,0.07369302213191986,0.10373406857252121,2.384185791015625e-07
weight,weight,1.0,1,0.07815882563591003,0.07184203714132309,2.384185791015625e-07
weight,weight,1.0,2,0.07222039252519608,0.09670734405517578,2.384185791015625e-07
weight,weight,1.0,3,0.07881788164377213,0.0862932875752449,1.7881393432617188e-07
weight,weight,1.0,4,0.08270235359668732,0.11970026046037674,2.384185791015625e-07
weight,weight,3.0,0,0.07368797808885574,0.10516122728586197,1.1920928955078125e-07
weight,weight,3.0,1,0.07815775275230408,0.07231129705905914,2.384185791015625e-07
weight,weight,3.0,2,0.07222951948642731,0.09793313592672348,3.5762786865234375e-07
weight,weight,3.0,3,0.07883843779563904,0.08718114346265793,2.384185791015625e-07
weight,weight,3.0,4,0.08270134031772614,0.1207083985209465,2.384185791015625e-07
weight,weight,10.0,0,0.0736682265996933,0.11062146723270416,3.5762786865234375e-07
weight,weight,10.0,1,0.0781562328338623,0.07403695583343506,2.384185791015625e-07
weight,weight,10.0,2,0.07226400822401047,0.10255130380392075,2.384185791015625e-07
weight,weight,10.0,3,0.07891732454299927,0.09042298793792725,2.384185791015625e-07
weight,weight,10.0,4,0.08269887417554855,0.12436182796955109,3.5762786865234375e-07
weight,weight,30.0,0,0.07360196113586426,0.1301545649766922,3.5762786865234375e-07
weight,weight,30.0,1,0.07818632572889328,0.07990540564060211,3.5762786865234375e-07
weight,weight,30.0,2,0.07239405810832977,0.11988135427236557,2.384185791015625e-07
weight,weight,30.0,3,0.07918215543031693,0.10118640959262848,2.384185791015625e-07
weight,weight,30.0,4,0.08270487189292908,0.136353999376297,2.384185791015625e-07
weight,weight,100.0,0,0.07334071397781372,0.4610127806663513,4.76837158203125e-07
weight,weight,100.0,1,0.07899343222379684,15.972475051879883,1.9073486328125e-06
weight,weight,100.0,2,0.07282447814941406,0.4269629716873169,3.5762786865234375e-07
weight,weight,100.0,3,0.07950707525014877,0.1681593507528305,3.5762786865234375e-07
weight,weight,100.0,4,0.08278830349445343,0.20982076227664948,4.76837158203125e-07
weight,weight,300.0,0,0.07370324432849884,2.1907074451446533,9.5367431640625e-07
weight,weight,300.0,1,0.07902450114488602,8.277995109558105,3.814697265625e-06
weight,weight,300.0,2,0.07231517881155014,1.3153704404830933,9.5367431640625e-07
weight,weight,300.0,3,0.07946179062128067,5.643701076507568,2.86102294921875e-06
weight,weight,300.0,4,0.08281804621219635,1.2709789276123047,9.5367431640625e-07
